country_a,country_b,total_trade_usd,mutual_benefit_pct,gdp_loss_pct_a,gdp_loss_pct_b
Italy,Japan,16,2.500396403102043e-10,5.336798119521941e-12,4.400755700543283e-12
Australia,Germany,16,2.4952735447590857e-10,9.64975311336542e-12,2.1367493326748263e-12
Australia,France,12,2.4418670903749604e-10,7.237314835024065e-12,2.8226746515742337e-12
France,Iraq,8,2.3244189621349005e-10,1.8817831010494893e-12,1.9139316970365978e-11
Australia,Spain,8,2.3021984967869093e-10,4.82487655668271e-12,3.302571939143928e-12
Canada,Saudi Arabia,8,2.2996547285267833e-10,2.7381746353294075e-12,5.897775044705117e-12
Germany,Italy,16,2.275085125487196e-10,2.1367493326748263e-12,5.336798119521941e-12
Argentina,Germany,12,2.2670613242534922e-10,3.364659998304694e-11,1.6025619995061196e-12
France,Japan,16,2.225842340043179e-10,3.7635662020989786e-12,4.400755700543283e-12
France,Iran,8,2.222848691887753e-10,1.8817831010494893e-12,1.8415568693031085e-11
Bangladesh,France,8,2.2147177139262209e-10,3.318584351347672e-11,1.8817831010494893e-12
India,Spain,12,2.1293841691562383e-10,3.432809157143505e-12,4.953857908715892e-12
Japan,UK,16,2.086037302165272e-10,4.400755700543283e-12,3.517989877587621e-12
Russia,Spain,8,2.0530815061503962e-10,4.657430651239747e-12,3.302571939143928e-12
Canada,UK,12,2.0390521234607482e-10,4.1072619529941114e-12,2.638492408190716e-12
Iraq,UK,8,2.0390085548627322e-10,1.9139316970365978e-11,1.7589949387938104e-12
Australia,Russia,8,2.0376822910880841e-10,4.82487655668271e-12,4.657430651239747e-12
Afghanistan,India,8,2.0357071154495543e-10,3.450572174614026e-10,2.2885394380956697e-12
Italy,UK,12,1.9944790371775176e-10,4.0025985896414554e-12,2.638492408190716e-12
Afghanistan,Japan,8,1.9785509957006436e-10,3.450572174614026e-10,2.2003778502716415e-12
Australia,Iraq,4,1.968664215537851e-10,2.412438278341355e-12,9.569658485182989e-12
Canada,Japan,12,1.91464999243935e-10,4.1072619529941114e-12,3.3005667754074625e-12
India,Italy,12,1.9091679260259705e-10,3.432809157143505e-12,4.0025985896414554e-12
India,Iraq,8,1.9082478982935575e-10,2.2885394380956697e-12,1.9139316970365978e-11
Argentina,UK,8,1.8704258379655987e-10,2.2431066655364632e-11,1.7589949387938104e-12
Iraq,Japan,8,1.8579365602126684e-10,1.9139316970365978e-11,2.2003778502716415e-12
Iran,Spain,4,1.852149987970517e-10,9.207784346515542e-12,1.651285969571964e-12
Germany,Japan,16,1.8420149466728248e-10,2.1367493326748263e-12,4.400755700543283e-12
Iran,Japan,8,1.7924691927362074e-10,1.8415568693031085e-11,2.2003778502716415e-12
Bangladesh,Japan,8,1.787178237700669e-10,3.318584351347672e-11,2.2003778502716415e-12
Afghanistan,Canada,4,1.771161140421935e-10,1.725286087307013e-10,1.3690873176647037e-12
India,Sweden,8,1.7688142291976828e-10,2.2885394380956697e-12,6.255174952914391e-12
Italy,Russia,8,1.7595525845191428e-10,2.6683990597609704e-12,4.657430651239747e-12
Canada,Germany,12,1.7388324221249274e-10,4.1072619529941114e-12,1.6025619995061196e-12
Afghanistan,Germany,8,1.7104683503279749e-10,3.450572174614026e-10,1.0683746663374131e-12
France,India,12,1.6961693553630022e-10,2.8226746515742337e-12,3.432809157143505e-12
France,Spain,8,1.6377249778887014e-10,1.8817831010494893e-12,3.302571939143928e-12
Germany,Iraq,8,1.6195739785352863e-10,1.0683746663374131e-12,1.9139316970365978e-11
India,UK,12,1.5880325113269826e-10,3.432809157143505e-12,2.638492408190716e-12
Germany,Iran,8,1.5696013213344064e-10,1.0683746663374131e-12,1.8415568693031085e-11
Bangladesh,Germany,8,1.5655427909520222e-10,3.318584351347672e-11,1.0683746663374131e-12
France,Germany,12,1.5341328429238048e-10,2.8226746515742337e-12,1.6025619995061196e-12
Germany,Sweden,8,1.5180129903016944e-10,1.0683746663374131e-12,6.255174952914391e-12
India,Japan,12,1.511544993659075e-10,3.432809157143505e-12,3.3005667754074625e-12
