country,year,disaster_type,num_disasters,total_deaths,total_affected,total_homeless,total_damage_adjusted_usd,avg_magnitude
Canada,2005,Wildfire,2,0.0,0.0,0.0,0.0,2137.5
Canada,2006,Flood,5,1.0,3900.0,0.0,0.0,18560.0
Canada,2007,Flood,1,0.0,500.0,0.0,0.0,205000.0
Canada,2007,Storm,2,6.0,0.0,0.0,0.0,
Canada,2008,Flood,2,0.0,2400.0,0.0,0.0,13040.0
Canada,2009,Flood,1,0.0,200.0,0.0,0.0,20490.0
Canada,2009,Storm,2,2.0,0.0,0.0,731083000.0,
Canada,2011,Flood,1,5.0,2000.0,0.0,1115640000.0,
Canada,2011,Storm,1,1.0,0.0,0.0,0.0,130.0
Canada,2011,Wildfire,1,1.0,0.0,7000.0,2091825000.0,
Canada,2012,Flood,1,0.0,1500.0,0.0,46453000.0,544053.0
Canada,2012,Storm,2,0.0,0.0,0.0,1434591000.0,
Canada,2013,Extreme temperature,1,10.0,0.0,0.0,269310000.0,
Canada,2013,Flood,1,4.0,100000.0,0.0,7675348000.0,307926.0
Canada,2013,Storm,1,0.0,0.0,0.0,1898639000.0,
Canada,2014,Extreme temperature,1,0.0,0.0,0.0,0.0,-48.0
Canada,2014,Flood,1,0.0,6900.0,0.0,170932000.0,
Canada,2015,Wildfire,1,0.0,13000.0,36.0,0.0,
Canada,2016,Flood,1,0.0,300.0,0.0,0.0,176099.51
Canada,2016,Wildfire,1,0.0,88000.0,0.0,5227992000.0,6000.0
Canada,2017,Flood,2,2.0,19113.0,0.0,255948000.0,79149.2
Canada,2017,Wildfire,1,0.0,43441.0,0.0,0.0,500.0
Canada,2018,Extreme temperature,1,70.0,0.0,0.0,0.0,37.2
Canada,2018,Flood,1,0.0,4000.0,0.0,0.0,78669.36
Canada,2018,Storm,1,0.0,900.0,0.0,405998000.0,250.0
Canada,2018,Wildfire,1,0.0,3000.0,0.0,0.0,
Canada,2019,Flood,1,1.0,19500.0,0.0,981591000.0,
Canada,2019,Storm,1,1.0,0.0,0.0,337422000.0,100.0
Canada,2020,Flood,1,1.0,12936.0,0.0,1575649000.0,
Canada,2020,Storm,1,0.0,60000.0,0.0,1454445000.0,
Canada,2021,Extreme temperature,1,815.0,0.0,0.0,0.0,49.6
Canada,2021,Flood,1,4.0,15000.0,0.0,2315306000.0,
Canada,2021,Storm,1,1.0,300.0,0.0,28941000.0,
Canada,2021,Wildfire,1,2.0,250.0,0.0,93668000.0,
Canada,2022,Flood,2,0.0,2000.0,0.0,38587000.0,
Canada,2022,Storm,4,17.0,4000.0,0.0,191865000.0,
Canada,2023,Extreme temperature,1,2.0,0.0,0.0,169867000.0,-50.0
Canada,2023,Flood,2,6.0,1450.0,0.0,0.0,
Canada,2023,Wildfire,1,2.0,30000.0,0.0,205899000.0,
Canada,2024,Storm,4,2.0,20.0,0.0,7950000000.0,100.0
Canada,2024,Wildfire,3,1.0,3500.0,0.0,1000000000.0,
China,2000,Drought,3,0.0,20000000.0,0.0,1450246000.0,19850.0
China,2000,Earthquake,5,9.0,1814300.0,287959.0,213103000.0,5.279999999999999
China,2000,Flood,8,396.0,709000.0,49000.0,565379000.0,55542.5
China,2000,Mass movement (wet),2,85.0,0.0,2000.0,4372000.0,
China,2000,Storm,10,173.0,2464000.0,62165.0,474214000.0,119.5
China,2001,Drought,2,0.0,16330000.0,0.0,0.0,233000.0
China,2001,Earthquake,5,8.0,175000.0,327000.0,161214000.0,5.38
China,2001,Flood,9,402.0,2094000.0,252630.0,1259598000.0,7094.0
China,2001,Infestation,1,0.0,0.0,0.0,0.0,
China,2001,Mass movement (wet),6,168.0,10000.0,11585.0,106295000.0,
China,2001,Storm,10,344.0,20816148.0,263000.0,6354681000.0,159.5
China,2002,Drought,3,0.0,64560000.0,0.0,2110152000.0,1429.5
China,2002,Earthquake,2,2.0,65830.0,48.0,0.0,5.449999999999999
China,2002,Epidemic,2,20.0,1674.0,0.0,0.0,
China,2002,Extreme temperature,1,7.0,0.0,0.0,0.0,43.0
China,2002,Flood,10,1246.0,113217800.0,2300.0,8246683000.0,86611.25
